Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-03-19;Qatar;460;0;4;0.00;0.87;99.13
2020-03-19;Réunion;14;0;0;0.00;0.00;100.00
2020-03-19;Roumanie;277;0;25;0.00;9.03;90.97
2020-03-19;Serbie;103;0;1;0.00;0.97;99.03
2020-03-19;Fédération de Russie;199;1;9;0.50;4.52;94.97
2020-03-19;Rwanda;8;0;0;0.00;0.00;100.00
2020-03-19;Arabie Saoudite;274;0;6;0.00;2.19;97.81
2020-03-19;Seychelles;6;0;0;0.00;0.00;100.00
2020-03-19;Soudan;2;1;0;50.00;0.00;50.00
2020-03-19;Suède;1439;11;16;0.76;1.11;98.12
2020-03-19;Singapour;345;0;114;0.00;33.04;66.96
2020-03-19;Slovénie;286;1;0;0.35;0.00;99.65
2020-03-19;Slovaquie;123;1;0;0.81;0.00;99.19
2020-03-19;Saint-Marin;119;11;4;9.24;3.36;87.39
2020-03-19;Sénégal;31;0;2;0.00;6.45;93.55
2020-03-19;Suriname;1;0;0;0.00;0.00;100.00
2020-03-19;El Salvador;1;0;0;0.00;0.00;100.00
2020-03-19;Eswatini;1;0;0;0.00;0.00;100.00
2020-03-19;Somalie;1;0;0;0.00;0.00;100.00
2020-03-19;Tchad;1;0;0;0.00;0.00;100.00
2020-03-19;Togo;1;0;0;0.00;0.00;100.00
2020-03-19;Thaïlande;272;1;42;0.37;15.44;84.19
2020-03-19;Tunisie;39;1;0;2.56;0.00;97.44
2020-03-19;Turquie;192;3;0;1.56;0.00;98.44
2020-03-19;Trinité-et-Tobago;9;0;0;0.00;0.00;100.00
2020-03-19;Taïwan;108;1;26;0.93;24.07;75.00
2020-03-19;Tanzanie;6;0;0;0.00;0.00;100.00
2020-03-19;États-Unis;13680;200;108;1.46;0.79;97.75
2020-03-19;Ukraine;16;2;0;12.50;0.00;87.50
2020-03-19;Uruguay;79;0;0;0.00;0.00;100.00
2020-03-19;Ouzbékistan;23;0;0;0.00;0.00;100.00
2020-03-19;Vatican;1;0;0;0.00;0.00;100.00
2020-03-19;St-Vincent / Grenadines;1;0;0;0.00;0.00;100.00
2020-03-19;Venezuela;42;0;0;0.00;0.00;100.00
2020-03-19;Viet Nam;85;0;16;0.00;18.82;81.18
2020-03-19;Kosovo;2;0;0;0.00;0.00;100.00
2020-03-19;Mayotte;3;0;0;0.00;0.00;100.00
2020-03-19;Afrique du Sud;150;0;0;0.00;0.00;100.00
2020-03-19;Zambie;2;0;0;0.00;0.00;100.00
2020-03-19;Autres;712;7;325;0.98;45.65;53.37
2020-03-18;Zambie;2;0;0;0.00;0.00;100.00
2020-03-18;Autres;712;7;325;0.98;45.65;53.37
2020-03-18;Afrique du Sud;116;0;0;0.00;0.00;100.00
2020-03-18;Mayotte;3;0;0;0.00;0.00;100.00
2020-03-18;Kosovo;2;0;0;0.00;0.00;100.00
2020-03-18;Venezuela;36;0;0;0.00;0.00;100.00
2020-03-18;Viet Nam;75;0;16;0.00;21.33;78.67
